,source_id,experiment_id,member_id,variable_id,file_name
34,CAMS-CSM1-0,abrupt-4xCO2,r2i1p1f1,ts,pangeo_data/CAMS-CSM1-0_abrupt-4xCO2_r2i1p1f1_ts.npy
35,CNRM-CM6-1,abrupt-4xCO2,r5i1p1f2,tos,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_tos.npy
36,CNRM-CM6-1,piControl,r1i1p1f2,mlotst,pangeo_data/CNRM-CM6-1_piControl_r1i1p1f2_mlotst.npy
37,NorCPM1,1pctCO2,r1i1p1f1,tos,pangeo_data/NorCPM1_1pctCO2_r1i1p1f1_tos.npy
38,HadGEM3-GC31-LL,piControl,r1i1p1f1,mlotst,pangeo_data/HadGEM3-GC31-LL_piControl_r1i1p1f1_mlotst.npy
39,UKESM1-0-LL,piControl,r1i1p1f2,tos,pangeo_data/UKESM1-0-LL_piControl_r1i1p1f2_tos.npy
40,NorCPM1,1pctCO2,r1i1p1f1,ts,pangeo_data/NorCPM1_1pctCO2_r1i1p1f1_ts.npy
41,GISS-E2-1-G,abrupt-4xCO2,r102i1p1f1,ts,pangeo_data/GISS-E2-1-G_abrupt-4xCO2_r102i1p1f1_ts.npy
42,MCM-UA-1-0,1pctCO2,r1i1p1f1,ts,pangeo_data/MCM-UA-1-0_1pctCO2_r1i1p1f1_ts.npy
43,CanESM5,1pctCO2,r1i1p1f1,ts,pangeo_data/CanESM5_1pctCO2_r1i1p1f1_ts.npy
44,CAMS-CSM1-0,piControl,r1i1p1f1,mlotst,pangeo_data/CAMS-CSM1-0_piControl_r1i1p1f1_mlotst.npy
45,NorESM2-MM,1pctCO2,r1i1p1f1,ts,pangeo_data/NorESM2-MM_1pctCO2_r1i1p1f1_ts.npy
46,GISS-E2-2-G,1pctCO2,r1i1p1f1,ts,pangeo_data/GISS-E2-2-G_1pctCO2_r1i1p1f1_ts.npy
47,CNRM-ESM2-1,abrupt-4xCO2,r2i1p1f2,rsdt,pangeo_data/CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_rsdt.npy
48,CNRM-ESM2-1,piControl,r1i1p1f2,mlotst,pangeo_data/CNRM-ESM2-1_piControl_r1i1p1f2_mlotst.npy
49,IPSL-CM6A-LR,abrupt-4xCO2,r10i1p1f1,ts,pangeo_data/IPSL-CM6A-LR_abrupt-4xCO2_r10i1p1f1_ts.npy
50,CAMS-CSM1-0,1pctCO2,r2i1p1f1,tos,pangeo_data/CAMS-CSM1-0_1pctCO2_r2i1p1f1_tos.npy
51,EC-Earth3-Veg,abrupt-4xCO2,r1i1p1f1,tos,pangeo_data/EC-Earth3-Veg_abrupt-4xCO2_r1i1p1f1_tos.npy
52,CESM2-WACCM,piControl,r1i1p1f1,tos,pangeo_data/CESM2-WACCM_piControl_r1i1p1f1_tos.npy
53,E3SM-1-1,piControl,r1i1p1f1,tos,pangeo_data/E3SM-1-1_piControl_r1i1p1f1_tos.npy
54,ACCESS-ESM1-5,piControl,r1i1p1f1,mlotst,pangeo_data/ACCESS-ESM1-5_piControl_r1i1p1f1_mlotst.npy
55,MRI-ESM2-0,abrupt-4xCO2,r2i1p1f1,rlut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r2i1p1f1_rlut.npy
56,MRI-ESM2-0,abrupt-4xCO2,r1i1p1f1,ts,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r1i1p1f1_ts.npy
57,GISS-E2-1-G-CC,piControl,r1i1p1f1,ts,pangeo_data/GISS-E2-1-G-CC_piControl_r1i1p1f1_ts.npy
58,MRI-ESM2-0,abrupt-4xCO2,r10i1p1f1,rsut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r10i1p1f1_rsut.npy
